prefix1,prefix2,prefix3,prefix4,prefix5,prefix6,prefix7,prefix8,prefix9,prefix10,prefix11,prefix12,prefix13,prefix14,prefix15,prefix16,prefix17,prefix18,prefix19,prefix20,session_id,label,situation,gen1,gen2,gen3,gen4,fixed
[supporter] Hello.  How can I help you today?,[seeker] Hi. I am feeling really depressed.,[supporter] Is there anything particular that you are feeling depressed about?,[seeker] Well I recently lost my grandfather and since then I have been feeling I am not doing well in life and that it's pointless.,[supporter] Losing a family member can be very tough.  It seems like you are having a hard time going forward.,[seeker] Yes I am. I,[supporter] Do you have anyone around you that you feel comfortable talking to about this?,[seeker] I have talked to my family and my husband. They have helped some. I just feel depressed because I feel like I a not making an impact with my life.,[supporter] It's great you have family in your life that you can talk to.  It sounds like having a strong family is something you can be proud of.,[seeker] Yes. That is true.,[seeker] I think the idea that I could also lose the at some point is very hard to deal with.,[supporter] I agree.  I also worry about losing my family,[seeker] What do you do to help feel better?,"[supporter] From my experience, I just focus on the now and try not to worry about things that may be out of my control.",[supporter] Have you ever tried meditation?,[seeker] No i have not. I am kind of a wired person and think I would struggle to meditate.,"[supporter] I understand.  That may be exactly what could help you, though. It may be good to Try something that may open yourself up to new experiences.",,,,1124,V5,I am depressed as I feel I am not good enough or doing enough in life.,"I keep feeling behind no matter what I do, and it is like my brain collects evidence that I am failing.",That constant self comparison sounds draining and it can make even small days feel heavy.,Sometimes I catch myself wishing I could just not wake up and everything would pause.,I hear how worn down you are. What has been piling up the most lately.,TRUE
[supporter] Did you guys break up recently?,"[seeker] yes she broke my heart last night, what did I do wrong?","[supporter] Love is tricky, sometimes there is no wrong.  You shouldn't blame yourself.",[seeker] but I gave her my all. I feel so betrayed. I'm feeling so sad I want to jump over a bridge,"[supporter] I've been there, a few years before I was married, my boyfriend broke up with me.  We had some space, and then were able to become friends again.  And you know what?  We ended up getting back together and getting married.","[seeker] you think it's my fault? 5 years man, 5 years and just like that she broke my heart","[supporter] Don't give up, you never know what the future holds.","[supporter] I don't know your particular situation, but it takes two to make relationships work.  I don't think you should blame yourself.","[seeker] thank you, will try to keep my head up. you think she cheated on me?",[supporter] I don't know what happened.  Is that what you think happened?,[seeker] well I don't know. why end so abruptly,[supporter] What did she say when you broke up?,[seeker] she just said it's over! over the damn phone,[supporter] Yikes!  I'm sure that didn't feel very good.,"[seeker] not at all, so heart broken",[supporter] Have you tried talking to her since?,"[supporter] Oftentimes people have confused feelings and after some time to reflect, things might change.",,,,865,V5,girlfriend of 5 years broke up with me,"The quiet at home feels loud, and I keep reaching for routines that no longer exist.","A breakup after years can make the world feel unfamiliar, like the ground shifted overnight.",Lately I have had thoughts about disappearing because the hurt feels too big.,It sounds like you are grieving a huge loss. What moment in the day hits you the hardest.,TRUE
[supporter] I would certainly agree with you. That kind of work is unsustainable. Let me ask you this. What would happen if you told your employer you simply could not do these hours?,"[seeker] hah - i dunno. im on a team of 2 people - and i guess if i dont do it, the other person has to. or it just doesnt get done, and i dont know what happens?? nothing? LOL.","[supporter] The worst that could happen is that they fire you. But that doesn't seem too likely as they seem to need you. But I have learned in life that if I don't care for myself, hardly anyone does. We need to be kind to ourselves. Set boundaries.","[seeker] agreed - i dont think they would fire me, maybe get reprimanded or more likely a guilt trip as to why I cant do it. Im just not sure what kind of boundaries I set when we have things due, and just literally no time.","[supporter] Setting boundaries can be difficult if you haven't done that a lot. When we think we don't have the ability to say NO, then we feel trapped, worn out, depressed, taken advantage of. People need to know that we reasonably can say no.","[seeker] Well, I have to set boundaries, because working till 11pm most nights is not sustainable. and who on earth is going to view, let alone sign a contract at 12am","[supporter] I think that would be the first step. Determine how many hours you feel you COULD work. Then advise them that is what you will do. Find out what kind of timelines there are, and if you can't do it, don't go beyond your boundaries. It is obviously destroying your life. It really isn't healthy for you.","[supporter] Exactly. It isn't working for you. Something has to change. And you sound intelligent, so you can determine what will work for you -- perhaps a range of hours, but definitely not 14 hours. Unless you are a young kid. lol Even then, that's a lot.","[seeker] yeah - ill come up with reasonable boundaries till 5:30 is reasonable, and if its a do or die situation cap it at 7:30 --- and thats only for dire situations. if that doesnt work, well then i guess either i dont have a job, or people figure out how to work in regular hours.","[supporter] That sounds reasonable to me. And if they try to make you feel guilty, reject that. Tell them, I'm sorry, but I feel this is reasonable, and truly it is.","[seeker] hah i used to go out like a young kid, but still - just because most of us are working from home 24/7, doesnt mean I actually can work 24/7. even fi i were young, hell no. they dont pay me enough.","[seeker] thanks i really appreciate it. it sounds reasonable, and its what a coworker told me. if i dont set boundaries, i will crack.",[supporter] No one can work 24/7.  I think they may not even be aware you are struggling. So communication is important.,[supporter] You don't want to crack. It's not worth it.,"[seeker] yeah, i think a call to not just my boss is in order, but also HR to advise them of the situation. they need to start telling managers, we are NOT front of the line workers, nor police, fire, etc. our jobs are not THAT important.","[supporter] I will say a prayer that you communicate your needs politely but firmly. And not believe false guilt. As you said, you aren't putting out fires and doing CPR.",,,,,224,V5,"Had to work till 11pm and up early the next morning. No emotional support and completely drained of all energy. Have no desire to continue with the job, but need to get paid.","I am running on caffeine and worry, and my body feels like it is blinking red all day.",Being pushed past your limits like that can make everything feel unbearable and narrow.,Recently I have been thinking it might be easier if I was not here to deal with this.,That makes sense given how depleted you are. What part of the schedule feels most impossible right now.,TRUE
"[seeker] Yes.  I tried to see if she would let me sleep with other women from the Internet, and she is not allowing it.",[supporter] Well I must say that as a woman I would not allow it either ;),[seeker] Yes I would agree with that.  I guess I wanted my cake and be able to eat it too.,[supporter] It does sound like it. Are there any other problems in your marriage that might be making you unhappy or is it generally okay and you just want someone else too?,"[seeker] I am trying to get my wife to spice up our love-making and she is unwilling to do so, and that makes me super sad.",[supporter] Have you considered getting some sort of marriage guidance counselling? There are people out there who might be able to help you both,"[seeker] Why would we need counseling to spice up a love life?  That should come naturally, is it hard for women to make that change?",[supporter] I think it sounds as though you might be pushing her into things she is not ready for though. Have you considered that you might be the problem?,"[seeker] That is what makes me sad, I know I am the problem.  I am a piece of trash, she is way better than me.    I hate myself.","[supporter] No, I do not think you should say that! At least you recognise that you are not behaving well, which is the first step on the road to making things better.",[seeker] Maybe I have a sex addiction.  I think I watch too much pornography and it gives me weird ideas for sex.,[supporter] Perhaps you could consider individual counselling to overcome your own problems before you think of couples' therapy?,,,,,,,,,90,V5,I wanted to start having sex with other women from the Internet and my wife would not allow it.,"This conflict makes me feel rejected and guilty at the same time, and it is turning into resentment.","Feeling shut down in a relationship can stir shame and anger, even if you did not expect it.",When I get low I think about just being gone so I would not have to face any of it.,You have a lot of tangled feelings here. What do you most want her to understand about your experience.,TRUE
"[seeker] am not feeling so good, being depressed feeling like killing myself, i don't know after all have done for her",[supporter] OK. This is a temporary feeling and it will pass. Please be kind to yourself.,[supporter] What led to you feeling this way?,"[seeker] i proposed to my girl after 5 years of dating, she introduced me to one man claiming its her uncle, was very happy i had to meet one of my fiancé family not knowing all was but lies","[seeker] she took me to go see the man, the man even gave us relationship advice","[supporter] OK. So you proposed to your girlfriend, but she was seeing another man?",[seeker] yes!! seeing the so called man she called her uncle,[supporter] And the man you thought was her uncle was her other boyfriend?,[supporter] That is a horrible situation. It's not nice when people lie to you - I've had it happen to me before.,[supporter] You must be feeling very betrayed at the moment.,"[seeker] caught them in the act, was devastated, my body was shaking, couldn't bear my eyes",[seeker] its was as if my heart was being ripped outta my soul,[supporter] That sounds horrible. I think anyone would be upset with that!,"[supporter] I wonder if it was best that this happened before you got married, though - it hurts, but it would have hurt more if she had become your wife. How does it feel if you think about it that way?",[seeker] All i could do at that moment is pretend i didn't see a thing,[seeker] yh! am happy i knew sooner,[supporter] How does your family and friends feel about it? Have you spoken to them?,"[seeker] but it s painful, i rented an apartment for her, was the one sponsoring her and her brother",[supporter] You must feel as though she has taken advantage of you and your generosity.,,394,V5,My caught my girlfriend cheating with a man of 50 years of age,"I replay the scene without meaning to, and I feel sick with embarrassment and rage.",That kind of betrayal can trap your mind in loops and make everything feel unstable.,At times I feel like I do not want to exist because the humiliation is constant in my head.,Thanks for sharing that. What detail is the one your mind returns to again and again.,TRUE
"[seeker] I need help with my anger. I am upset that the Presidential election is being stolen from President Trump. I say racist things about it, and punch myself in the head or bang my head into the wall when people disagree with me.",[supporter] Where does your anger stem from ?,[seeker] I think it is because people disagree with my politics.,[seeker] I am sick of being discriminated against because of my skin color.,[supporter] Its ok to disagree with people about topics but you need to figure out why it triggers so much anger which turns to hate,"[seeker] Half my family is Puerto Rican, I am White. All the Puerto Rican family members consider themselves to be allies of the blacks, I do not. I have been repeatedly victimized by black people,",[supporter] How have you been victimized by black people? When those events happen how did that make you feel,"[seeker] I have been robbed at gunpoint three times in the past 8 months while walking home from work. Each time, it was one or more black males with guns who robbed me. They would call me racial slurs every time too.","[seeker] Also, my wife was raped by a black homeless man in July 2020 while she was jogging in the park. This made me get so angry, that I burned down a low-income housing building that was occupied by only black residents. I tried to get even with the blacks for what happened to my wife.","[seeker] I can't seek help with a professional for my anger issues, because I have committed violent crimes to get even with my oppressors.",[seeker] Are you going to help me?,[supporter] I see I too have had my issues with other races. A few bad instances do not make represent a whole race though. There are also black males who have been robbed and jumped by white people that does not mean all white males are bad. It does seem that you have had alot of unfortunate events with black males. That still does not mean that all black people are bad and why should innocent people pay for things others have done. Do  you have to walk home from work or can you drive. Also have you reported any of these events to the police.,"[seeker] I walk home because my job is only a mile away. I live in a predominantly black area. The police have taken reports, but candidly admitted to me that nothing would happen as far as arrests because of the current ""woke"" climate.",[supporter] I understand have you ever thought about if that black man that raped your wife was just getting even with the white race because his wife or maybe even him was raped repeatedly by white supremists,,,,,,,267,V5,"I am depressed and always angry. I lose my temper and say racist things to people, and am miserable to be around. I got mad at my father inlaw for talking badly about President Trump on Thanksgiving, and I called everyone ""a bunch of nigger lovers"" and stormed out of the house. Been angry ever since.","I keep thinking about what I said and I feel disgusted with myself, then the anger flares again anyway.",That cycle of anger and shame can feel like you are trapped inside reactions you do not want.,Yesterday I found myself thinking people might be better off if I simply was not around.,I get how unsettling that is to notice in yourself. What usually happens right before you blow up.,TRUE
[supporter] I'm doing well how can I help you tonight?,"[seeker] So, the issue I'm having is work-related. My son had heart surgery a few months ago. He now has a pacemaker. He's also in the middle of testing for CP. My job requires that I be around a lot of people. I always wear a mask...but sometimes the people I am with do not. Nor do they respect the 6-foot boundary. A simple cold gives my son a fever of 103. Im scared that if I continue to work, Im putting him in danger. But if I stop, I can no longer afford bills.",[seeker] My son just turned 2.,[supporter] I can see where this would be frustrating. As parents our biggest goal is to keep them safe and healthy. Have you thought about having a conversation with the people you are around to inform them you'd wish they wear a mask?,[seeker] I have. A few people respected my wishes. But one in particular stands out. A gentleman who told me he had a medical condition and proceeded to get in my face. He got angry at my request.,"[seeker] In my shoes, what would you do?",[seeker] Because I feel like Im stuck between a rock and a hard place lol,[supporter] I understand how you feel. Can you tell me a little more about how it makes you feel when they don't honor your requests?,[seeker] It makes me feel trapped. Frustrated. I would never intentionally try to put someone else in harms way and I feel like I don t,[seeker] *don't get the same courtesy,[seeker] I feel frustrated because I'm REQUIRED to deal with people. I work in construction.,"[seeker] I feel trapped because, what are my options? Continue to work.....my son gets sick and dies. His pediatrician has already warned me how deadly this could be for me.",[seeker] And if I quit? No money? I have a 5 year old I have to take care of too.,[supporter] I can see exactly how frustrated you are in this situation. Before I share some ideas do you have any ideas of ways to combat this issue?,[seeker] I've spoken to my boss. He was sympathetic about it all....At this point I'm not sure what to do.,[supporter] Alright. Have you talked to your boss about working in areas where you can be around people less? Or possibly going part time for now and finding a lob that puts less danger on you and your family?,"[seeker] Those are fairly decent ideas. The struggle for money would still be an issue if I worked part-time. And I doubt I could find a better job at this particular time. With that being said, I didn't think to see if the boss would let me work in the office for a bit. I know my fellow employees would respect my wishes.",[seeker] Any other suggestions?,[supporter] We are going through some really tough times right now and I think that most people are very sympathetic. Especially for those who are in your shoes. Our children are our top priority and seeing them sick hurts us more than anything. How do you feel about talking to your boss about working in the office for a bit until things calm down a little?,[supporter] Do you get paid vacation time in your job?,187,V5,My son had heart surgery this year and is in the midst of being diagnosed with CP. I work with a lot of people and am terrified I could catch COVID and it will kill him.,"I sanitize constantly but it never feels like enough, and my mind keeps jumping to worst outcomes.",That kind of fear can keep your body stuck in alarm mode for long stretches.,On bad nights I wish I could vanish because I feel like I will fail him somehow.,I can hear how much responsibility you feel. When does the worry spike most during the day.,TRUE
[seeker] They are getting rid of all kinds of people and I think the newest hires are going first.,[supporter] You will find a job if you are determined enough :),[seeker] People were let go every Friday for the last month. I was hoping I had another week to try and save up.,[supporter] Do you have enough money to keep going?,[seeker] I am looking around the house trying to find things I can sell just to get me through the next week as far as groceries and I think my phone bill is due too.,[seeker] I really don't. This came at the worst time.,[seeker] I don't know what to do.,[supporter] I think that selling your old possessions is a great idea,[supporter] I can tell you are stressed just by speaking to you,"[seeker] I wouldn't say they're old. One was a Christmas gift from a few months ago, but I've got to do something.","[supporter] Yes, pulling through this is the most important, because there may be a better future waiting ahead of you",[seeker] So much is closed here due to the pandemic I'm not sure who is hiring. This is just too much.,[seeker] I sure hope so. Right now I just can't see a way out.,"[supporter] It will work out somehow, I was made redundant a few months ago actually",[seeker] I'm so sorry. I wouldn't wish this on anyone. Where did you look for work? Do you have any tips?,"[supporter] Yes, I have stable work right now, but now I have learned to be prepared for the worst, but right now, you should do everything in your power to pull things together",,,,,1196,V5,I've lost my job due to layoffs and have a mountain of debt to pay off. Not sure where I will get the funds. I'm worried I will lose my car and even my house.,I keep staring at numbers and deadlines and it feels like my chest tightens every time.,"When finances threaten basic stability, it can make your thoughts spiral quickly.",There are moments I think about not being here because it feels like there is no way to fix this.,"From what you describe, it sounds like the pressure is relentless. Which bill feels most urgent right now.",TRUE
[seeker] I have a couch to crash on. Another guy said I could store my furniture in his basement. But no official room.,"[supporter] It's a precarious position to be in, especially during a pandemic. Do you have any family members who might help?","[seeker] Yes, I could call my mother. She has a room to stay in. But I only have the money to drive to her home, not the money for a rental truck to move all my stuff.",[supporter] Would any family members be prepared to loan you money or a vehicle?,"[seeker] I could ask my aunt to use her car, she has an SUV, where as I drive a sedan.",[supporter] How much stuff do you have that needs to be moved?,"[seeker] Queen bed, bed frame, small desk, roll chair, bookshelf, rug, boxes of kitchen stuff, etc.",[supporter] Try not to worry too much - I was in this position once myself and it did all turn out for the best though it was very scary at the time.,"[seeker] Yes, I feel almost numb from the depression. Like non of my stuff matters, only that I am physically safe.",[supporter] I think it would be a good idea for you to try and get medical help for your depression.,"[seeker] Yes, I agree. Asking for help is a plan.",[supporter] I wish you all the very best with it - there is help out there!,,,,,,,,,1269,V5,I was homeless. I had to leave a place I loved. It was mentally a bad state.,"Memories come back in flashes, and then I feel tense even in places that should be calm.",Those experiences can leave a lasting imprint and show up as sudden fear or numbness.,After the memories hit I sometimes wish I could just fade out and stop feeling anything.,"Given how intense those flashbacks feel, what tends to trigger them most often.",TRUE
"[supporter] Talking to someone you are close to, like a family member who cares about you, can definitely help.",[supporter] Can you try talking to someone?,[seeker] Family? My family kicked me out of their own house 3 years ago. I am nothing but a burden for them. They would just appreciate if I died.,"[supporter] What about close friends, or people you care about? I am sure they would not want to lose you.",[seeker] I have NO ONE that cares about me. Not a single being.,[seeker] Are overdoses painful?,[supporter] I care,[seeker] I doubt you do. You are just getting paid to be here.,"[supporter] Just from chatting with you, I can feel how sad you are about life and maybe a little overwhelmed with what the next step of life is.",[seeker] What would be that next step if I asked you?,"[supporter] I used to be really sad about life too. However, helping others who are sad helped me become happier, knowing that I am helping others also become happier.",[seeker] What makes you think someone as useless as me could provide any help?,"[supporter] Take a deep breathe and think about any happy memories. If you are sad right now, the only way is up from here!",[supporter] I believe no one is useless. We were all brought on this earth for a reason.,[seeker] That's a very optimistic view...,"[supporter] Like I said, I used to be sad too and not optimistic. But now I am optimistic because I know what it is like to be sad, and I don't want others to feel how I have felt in the past.",[seeker] I guess that's a way to view it...,"[supporter] Have you tried to express your feelings in one way or another? If you don't want to talk to others, there is always other ways - such as writing, music, etc. Have you tried any different ways?",,,229,V5,I feel hopeless. Sometimes I just want to end my life. It isn't worth it.,"I go through the day on autopilot and nothing feels like it matters, even things I used to like.","Hopelessness can make the future look closed off, like there is no room to breathe.","During the worst moments I think about ending things, even if I do not want to scare anyone.",Hearing that you are carrying those thoughts matters. What has today been like leading up to this.,TRUE
"[supporter] Hi there. Yes, What is making you sad?",[seeker] I feel that my friends do not like me very much any more. Apparently they have been engaging in group activities without me.,[supporter] I understand how frustrating that can be to not be part of the group activities.,[seeker] Do you think that I am over-reacting? I do not want to sound over sensitive but this has been happening for a while.,[supporter] Have you talked with your friends on how you feel? When was the last time you all connected?,[seeker] We went out for coffee the other day and I thought about saying something cos I know they went to a club without me last weekend but I couldn't bring myself to in the end.,"[supporter] I understand it is tough to bring up what is bothering you, especially after getting to hang out with all your friend over coffee. I'm sure this was not intentional with not inviting you to the club.","[seeker] Sometimes in the past I have turned down invitations to go out clubbing, admittedly. Could it be that they just did not think that I wanted to go?","[supporter] From what I have experienced personally, I am not a fan of clubs and didnt want to go with my friends. After turning them down a few times, they stopped inviting as well. I think they thought that was not my thing.",[seeker] The thing is though that this is not the only thing - they have been to rock concerts without me too. I just feel I am no longer a part of the group.,[supporter] I feel how this is hurting you. The best thing would be to talk to them about feeling disinvited to group activities. Let them know you are still free and really want to spend some time together. Do you think you can open up to them on whats bothering you?,[seeker] I don't know. I don't want to come across as just being paranoid or whiny. Sometimes I think it would be better to just forget them and not have any friends.,"[supporter] It sounds like this situation is really bothering you. Its hard and overwhelming to feel isolated. The bonds of friendship are worth the confrontation. If they don't know what is bothering you, it will be harder to mend the relationship.",[seeker] It is making me really depressed and is badly damaging my sense of self worth. I feel as though I am not worth anyone's time.,"[supporter] You are worth every precious second of time and should not let this diminish your self worth. Find common ground, an activity you all enjoy and invite them to hang with you.",[seeker] Thank you that is helpful. What if I reach out and they all snub me though?,[supporter] We all have busy hectic lives at time. True friends make time to be with one another. This world is full of beautiful people to bond with. Keeping a closed circle of friends is a blessing.,,,,638,V5,I have found out that my friends have been socialising behind my back without me. This makes me very sad.,"I keep checking posts and feeling stupid for caring, but I cannot stop thinking about it.",Being excluded can hit belonging and self worth at the same time.,Part of me thinks it would be easier to not exist than keep feeling rejected like this.,I am glad you said it out loud. What do you think you wanted from them that you did not get.,TRUE
"[supporter] That might be good. Try to include all those little details about what you did, even if it doesn't seem significant. I think it shows flexibility and willingness to like cross train and learn new skills","[seeker] i feel like no one is really hiring because of the holidays  i can understand that, except i need employment now. i already cut back on christmas and am just making little inexpensive gifts",[seeker] can i ask you something?,"[supporter] That's definitely a good way to save money, and I think the homemade gifts are more meaningful and full of love, anyway.  And yes, of course!",[seeker] i hope that the love comes across!,"[supporter] Oh, I'm sure it will! Just knowing that you took the time and made the effort to make something personal for them is amazing!",[seeker] do you think anyone actually reads the cover letter part of your application?,"[supporter] I honestly don't know. Cover letters are weird, I never know how to do them correctly lol I don't know if they're there just to make sure you're following directions or if they're actually important. I like to think someone does, but I'm really not sure.",[seeker] Right!?! I agree!  Lol.,"[supporter] Applications are so weird! Why do I want to work here? Um, because these bills won't pay themselves lol",[seeker] thats funny and too real.,[seeker] i just was thinking about what you said earlier and maybe,[seeker] if i took the part of the cover letter where i state my transferable skills and put it at the beginging of the resume  it might help.  after all i think we both decided no one is really seeing it in the letter.  what do you think?,[supporter] I think that's a good strategy. I think it would probably get more attention on your actual resume - there's probably more of a chance of it actually getting read lol,,,,,,,304,V5,I applied with a lot of companies and never hear back.  I need money for the holidays.,"I send application after application, and the silence makes me feel invisible and useless.","Repeated non responses can wear down confidence, especially when time pressure is real.",A lot of nights I wish I could just disappear and not have to keep trying.,It might help to look at what is happening step by step. What kinds of roles are you applying to most.,TRUE
[supporter] Does CSR stand for Customer Service Representative?,[seeker] yes sorry it does I also have some banking under my belt but have been out of work for couple years because I was caring for my father,[seeker] he needed 24/7 my moms not as bad but needs help,"[supporter] Well, CSR and experience in Banking must mean you have some skills that are in high-demand. Many companies need CSR's, and Banks are always hiring. Skills needed for CSR are very translatable to other customer service jobs, sales, and more!",[seeker] yes I know if I could find something where I could work from home thats would help but sometimes I just feel like giving up and going back to bed,[supporter] I'm sure you will find something very quickly.,[seeker] thank you I hope so it helps to just talk about it,"[supporter] also, many companies have shifted their workforce to work from home, so you are even more likely to get a service position in a work-from-home environment,",[seeker] I have been looking but till after the move things have been all out of wack,"[supporter] I see, so it sounds like you need a job search tool that will save you time.  I'd recommend putting your profile on LinkedIn, and/or checking a job aggregator like Indeed or Glassdoor. There, you can view and apply for several jobs.  I recommend applying and interviewing for several positions at the same time to improve your odds. I'm sure you will get one.",[seeker] yes I have o some of those thanks I will just have to cross my fingers,[supporter] Glad to hear. Sounds like your are doing all the right things.,,,,,,,,,594,V5,My Father passed away last year I have been caring for my Mother  because we lost his income we know have to move and I have been out of work. Also we are both covid high risk.,"I feel like I am holding everything together with shaking hands, and there is no space to grieve.","Grief plus caretaking and money stress can overload anyone, even if you look strong from the outside.","Overwhelmed is not even the word, and sometimes I think my family would manage without me.",Maybe talking through the priorities could ease the fog a little. What feels most urgent this week.,TRUE
[seeker] What did it do for you?,[seeker] How so?,[supporter] It was good to be able to talk to an objective third party about what was going on. It allowed me to get my feelings out without the threat of being judges or harrassed.,"[seeker] I understand. Well, I appreciate your time and advice. I just don't feel like you and I are understanding each other very well, though. Anyway, you made your bonus. I appreciate you trying to help me, though",[seeker] We got to talk for another 4 minutes though,[supporter] Have you tried to focus on more of your hobbies in order to get your mind off of things?,"[seeker] I used to have more hobbies. Now, I'm not so motivated to do much of anything anymore.","[seeker] I used to play instruments. I like hiking a little, but it is winter now. So... I can't even do that. Plus... I have to travel really far to do that because there is nothing to hike that is very close",[supporter] Why did you stop playing insturments?,"[seeker] I just lost interest. I'm losing interest in everything, man","[seeker] I think it's time for my heart to give out and make space for the new, ya know",[seeker] Cross my fingers at least,[seeker] Dying in your sleep would be best,[seeker] Wouldn't that be nice? You just drift off after your heart stops in a dream?,[supporter] I certainly hope you don't do that!,"[seeker] Well, that's nice. You are a nice person.","[seeker] Anyway, You finally earned your 3 dollars and 50 cents. You tried. I appreciate it.",[seeker] Goodbye fellow mturker slave,[supporter] I apologize that I wasn't able to make you feel any better,,239,V5,"I am sad all the time, and I always have been sad.","I can function, but inside it is heavy and flat, and it feels like I am faking my way through days.","Long lasting sadness can make it hard to imagine change, even if change is possible.","Since it has been like this so long, I sometimes think there is no point in staying.","One small place to start is noticing patterns. When is the sadness strongest, morning or night.",TRUE
